file_path,filename,filename_upc,file_size,modified_time,width,height,detected_text,normalized_text,detected_brand,detected_denomination,detected_pack_quantity,catalog_status,catalog_error
Z:\Kendal King\Images\033878704701.JPG,033878704701.JPG,033878704701,55454,1627483542.0,552,707,"THE COFFEE BEAN &TEA LEAF’
» SAVE
) *50 Value
: FOR ONLY
EXTREME VALUE
& THE COFFEE BEAN & TEA LEAF’
ll “| SAVE
_ Se) 20
$50 Value
Mil
— SAVE
=> 2)
a
LL $39. 98
c/o .
&) GET TWO $25 GIFT CARDS
TEAS’
| AM",the coffee bean tea leaf save 50 value for only extreme value the coffee bean tea leaf ll save se 20 $50 value mil save 2 a ll $39 98 c o get two $25 gift cards teas am,,$50,,ok,
Z:\Kendal King\Images\100 0019674204538.jpg,100 0019674204538.jpg,0019674204538,820005,1757109060.0,1088,1538,"exfien °100
a»
‘Deep
. Stream more
— phwbat you love
exten °100
oN
‘Drenep a
Stream more
of what you love
ania»
‘Disney +
of wnat you love",exfien 100 a deep stream more phwbat you love exten 100 on drenep a stream more of what you love ania disney of wnat you love,disney,,,ok,
Z:\Kendal King\Images\10196742104509.jpg,10196742104509.jpg,10196742104509,265235,1757109060.0,248,350,"rat) @ufiem °25
-a waa
OUTBACK
STEAKHOUSE®
$25
a cE
Sunes’
io quem *25
-_ae hE rl el rr
a EEE
_—
oo ;
ol",rat ufiem 25 a waa outback steakhouse $25 a ce sunes io quem 25 ae he rl el rr a eee oo ol,outback,$25,,ok,
Z:\Kendal King\Images\106569.jpg,106569.jpg,106569,10982,1692034268.0,172,288,"=
»
a. d
—_
».d",a d d,,,,ok,
Z:\Kendal King\Images\106570.jpg,106570.jpg,106570,14083,1692034268.0,169,290,"Sea,
)
:
« awe
3,
. :
is .
.
>
. °
hy",sea awe 3 is hy,,,,ok,
Z:\Kendal King\Images\106571.jpg,106571.jpg,106571,33754,1692034267.0,318,394,"on ATE CO |
- ww EXTRA CUP }
NT (UP ae : |
WOLDAY F",on ate co ww extra cup nt up ae wolday f,,,,ok,
Z:\Kendal King\Images\106572.jpg,106572.jpg,106572,30782,1692034267.0,304,448,"+ ere AWhaptT!
GIFT CARD
HOLDERS
a rer e @ ""
x “Oe @ *
: *
: @ ‘
2 poe —O— Unapit!
° ww a
* i
Oa oe
WhaptT
+ pac HOLDERS.
e 6
ery
*° * .",ere awhaptt gift card holders a rer e x oe 2 poe o unapit ww a i oa oe whaptt pac holders e 6 ery,,,,ok,
Z:\Kendal King\Images\190199709997.jpg,190199709997.jpg,190199709997,407044,1625603595.0,843,1220,"Glam *25
The gift card for
everything Apple
C \ $25",glam 25 the gift card for everything apple c $25,,$25,,ok,
Z:\Kendal King\Images\190199710009.JPG,190199710009.JPG,190199710009,283284,1625603596.0,843,1220,"¢ » §*5O
The gift card for
everything Apple
¢ » §5O
( ’ $60",5o the gift card for everything apple 5o $60,,,,ok,
Z:\Kendal King\Images\190199710016.JPG,190199710016.JPG,190199710016,408007,1625603598.0,843,1220,"Gl *100
The gift card for
everything Apple
Giz *100
C ‘$100",gl 100 the gift card for everything apple giz 100 c $100,,$100,,ok,
Z:\Kendal King\Images\190199710023.jpg,190199710023.jpg,190199710023,407570,1625603599.0,843,1220,"( $10-*500
The gift card for
everything Apple
( *10-""500",$10 500 the gift card for everything apple 10 500,,$10,,ok,
Z:\Kendal King\Images\195949365935.jpg,195949365935.jpg,195949365935,407570,1712782707.0,843,1220,"( $10-*500
The gift card for
everything Apple
( *10-""500",$10 500 the gift card for everything apple 10 500,,$10,,ok,
Z:\Kendal King\Images\195949365966.JPG,195949365966.JPG,195949365966,283284,1712782710.0,843,1220,"¢ » §*5O
The gift card for
everything Apple
¢ » §5O
( ’ $60",5o the gift card for everything apple 5o $60,,,,ok,
Z:\Kendal King\Images\195949365973.JPG,195949365973.JPG,195949365973,408007,1712782712.0,843,1220,"Gl *100
The gift card for
everything Apple
Giz *100
C ‘$100",gl 100 the gift card for everything apple giz 100 c $100,,$100,,ok,
Z:\Kendal King\Images\196742002126.jpg,196742002126.jpg,196742002126,899489,1721164041.0,1163,1650,": $90-3
aitt emf “°°
aT
of Gifts. ORES
FOOD & FUN
Le
\
Exchange for eG
brands at
fa) XBOX Game Fanera
eas) s | 6g S seotity
BORDER” oh. nS) coun atone
@NeExoN @TOPGOLF BANA Feet
‘ $20-3
Zift cule °°
illions
of Gifts. No Fees
vy!
vet
Vy, R o
Exchange for eGifts from these
brands at ZillionsGift.com
(6) XBOX @® REGAL GameStop Tanera
3s Y Q spotty
bakers enoe! —
BORDER ak RS) CHEESE, en
@.NEXON CINEMARK’ @TOPGOLF BANA FRESH
° $9()-$
Zift anf °°
AS ay
a] \_J « Ud
(@) XBOX @ REGAL GameStop Fanera
35S Y @ spotify
bakers barre _
BORDER she Sans coun BONE
§ NEXON CINEMARK’ @TOPGOLF BAVA FRESH",$90 3 aitt emf at of gifts ores food fun le exchange for eg brands at fa xbox game fanera eas s 6g s seotity border oh ns coun atone neexon topgolf bana feet $20 3 zift cule illions of gifts no fees vy vet vy r o exchange for egifts from these brands at zillionsgift com 6 xbox regal gamestop tanera 3s y q spotty bakers enoe border ak rs cheese en nexon cinemark topgolf bana fresh $9 $ zift anf as ay a j ud xbox regal gamestop fanera 35s y spotify bakers barre border she sans coun bone nexon cinemark topgolf bava fresh,xbox,$20,,ok,
Z:\Kendal King\Images\196742002133.jpg,196742002133.jpg,196742002133,837893,1701898328.0,1163,1650,"Give th $ =o
Gift of Choice. ~~ 20-'500
STUDY BREAK
p a
ZZ DY
O “2
eT
Choose your favorite gift cai
“
Ci ba
Domino's’ BELL.
AMERICAN EAGLE BARNES&NOBLE
CINEMARK. (AVE?
NSTERS
Yorera = @ oid way
@ Use code on back to redeem for gift cards online.
Give th $ =
Gift of Choice. quis 20-*500
—~Z Cia
O RO | Fe
\
Choose your favorite gift cards from
_ ™“
gE  wrxsx fa
Fonera = @)coid way
Give th $ =$
Gift of Choice. ete» 20-*500
—_—
ee CN O
UO RAG |
- ™
SY  wrxsox fa
AMERICAN EAGLE BARNES& NOBLE
ASTER?
Rene = ® Goi way",give th $ o gift of choice 20 500 study break p a zz dy o 2 et choose your favorite gift cai ci ba domino s bell american eagle barnes noble cinemark ave nsters yorera oid way use code on back to redeem for gift cards online give th $ gift of choice quis 20 500 z cia o ro fe choose your favorite gift cards from ge wrxsx fa fonera coid way give th $ $ gift of choice ete 20 500 ee cn o uo rag sy wrxsox fa american eagle barnes noble aster rene goi way,,,,ok,
Z:\Kendal King\Images\196742002140.jpg,196742002140.jpg,196742002140,851834,1721164040.0,1163,1650,"° $9Q-$
itt cafe °°
it
peste No Fees
HEALTHY & HAPPY FAMILY
| JT VJ @)
Exchange for eGifts from these
brands at ZillionsGift.com
CULTA, carter’s OSHKOSH Sjamba
PLACE GYMBOREE BANA FRESH SPOess| gift cord
squad. @TOPGOLF @ATHLETA way’
Given FITS fie ~=— Cm B
OURA S%GOLFNOW BARNES&NOBLE Columbia
° Se $90-3
Aitt 0-500
illions
of Gifts. No Fees
az |
a Ce
“7 \ J
PLACE GYMBORee BAIA FRESH SPO. gift card
txt squad. @TOPGOLF @ATHLETA way’
Biven FITS GS, =
OURA %*GOLFNOW BARNES&NOBLE Columbia
aift emf °°
of Gifts.. No Fees
@Ownz- i fi
CW VICK We)
von = we U
ULTA carter’s OSHKOSH Sjamba
PLACE GYMBORCE BAIA FRESH. SPliness| Gift card
squad. @TOPGOLF @ATHLETA way
OQURA ‘“*GOLFNOW  BARNES&NOBLE Columbia",$9q $ itt cafe it peste no fees healthy happy family jt vj exchange for egifts from these brands at zillionsgift com culta carter s oshkosh sjamba place gymboree bana fresh spoess gift cord squad topgolf athleta way given fits fie cm b oura s golfnow barnes noble columbia se $90 3 aitt 0 500 illions of gifts no fees az a ce 7 j place gymboree baia fresh spo gift card txt squad topgolf athleta way biven fits gs oura golfnow barnes noble columbia aift emf of gifts no fees ownz i fi cw vick we von we u ulta carter s oshkosh sjamba place gymborce baia fresh spliness gift card squad topgolf athleta way oqura golfnow barnes noble columbia,,,,ok,
Z:\Kendal King\Images\196742003543.jpg,196742003543.jpg,196742003543,178942,1725913689.0,318,462,"|
Gift Gard—=
EXTREME $95
Cift (ard",gift gard extreme $95 cift ard,,,,ok,
Z:\Kendal King\Images\196742004656.JPG,196742004656.JPG,196742004656,107517,1741191466.0,481,757,"EXTREME $50
VALUE
ory 25)
x ‘ ~» =
Ls, Feogt |
tt. 1) Pa e every bite a better burger
Ye |
Tere |
; os s Es
SS |
Bs Se, Bee
= BURGER
et Pin a |
(Sts, =i
pe. Sone? ay ay od every bite a better burger
e |
at °25)'
ESD = evga 2 every bite a better burger
.. ey j |
PES ee TS HK KH HS
Aes B. ry ei
PODS ak hig so a Oe .
scsi : io Mee F every bite a better burger
Fe I a
Madi °25'
arene aoe hice ‘ every bite o better burger
L. ~ : |
tee 5-57 FH TH HH HR HH
ors . ry e.
ON om pa ME .
ae a Me Yr every bite o better burger
fa a ee ae ee ee ee ee ee ee ee ee et",extreme $50 value ory 25 x ls feogt tt 1 pa e every bite a better burger ye tere os s es ss bs se bee burger et pin a sts i pe sone ay ay od every bite a better burger e at 25 esd evga 2 every bite a better burger ey j pes ee ts hk kh hs aes b ry ei pods ak hig so a oe scsi io mee f every bite a better burger fe i a madi 25 arene aoe hice every bite o better burger l tee 5 57 fh th hh hr hh ors ry e on om pa me ae a me yr every bite o better burger fa a ee ae ee ee ee ee ee ee ee ee et,,$50,,ok,
Z:\Kendal King\Images\196742005875.JPG,196742005875.JPG,196742005875,75252,1693408704.0,534,797,"EXTREME ss 50
“VALUE
! $25 |
4 & Psi! Be
| SMOKEHOUSE SPA e he
: — — — — — _4RSMOKEHOUSE.COM
RR 4 RIVERS
SMOKEHOUSE
4RSMOKEHOUSE.COM
Ol
=
EXTREME — : 6)
VALUE $5
| ) $25
4RIVERS @a as
| SMOKEHOUSE MP so"" aa
| i
L— — — — — _4RSMOKEHOUSE.COM.
AR 4 RIVERS
ee
NT
EXTREME | , 6)
| : $25
4RIVERS @ ee
| SMOKEHOUSE A ay op
| Te
L— — — — — -4RSMOKEHOUSE.COM
I el",extreme ss 50 value $25 4 psi be smokehouse spa e he 4rsmokehouse com rr 4 rivers smokehouse 4rsmokehouse com ol extreme 6 value $5 $25 4rivers a as smokehouse mp so aa i l 4rsmokehouse com ar 4 rivers ee nt extreme 6 $25 4rivers ee smokehouse a ay op te l 4rsmokehouse com i el,,$25,,ok,
Z:\Kendal King\Images\196742005912 - Bahama Bucks.JPG,196742005912 - Bahama Bucks.JPG,196742005912,135195,1708451298.0,572,845,"“ae «$30
_ YBUCK'S” |
: BUCK’S
FLAVOR a
Your ag ak
— “Ty, lla bth
ee
BUCK'S |
| FLAVOR \ x5
Yor ag ‘fue",ae $30 ybuck s buck s flavor a your ag ak ty lla bth ee buck s flavor x5 yor ag fue,,$30,,ok,
Z:\Kendal King\Images\196742005912.JPG,196742005912.JPG,196742005912,135195,1708542144.0,572,845,"“ae «$30
_ YBUCK'S” |
: BUCK’S
FLAVOR a
Your ag ak
— “Ty, lla bth
ee
BUCK'S |
| FLAVOR \ x5
Yor ag ‘fue",ae $30 ybuck s buck s flavor a your ag ak ty lla bth ee buck s flavor x5 yor ag fue,,$30,,ok,
