Current UPC 11,Calculated/Excel UPC 12,Item Number,Position Report Name,Pallet Product,DESC 1,DESC 2,DESC 3,PDF Last 6,Last 5,PDF Sources,Target POG Occurrences,Search Keys,Match Status,Matched Key,Matched Path(s)
19674217489,196742174892,990544247,MC VL HH HOL 26,MC VL HH HOL 26,MasterCard,$20-$500,Gift Card,217489,17489,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174892|19674217489|217489|17489|990544247,unresolved,,
19674218048,196742180480,990548970,MC $75 MP HH HOL 26,MC $75 MP HH HOL 26,MasterCard $75 Multipack,$75 (3 X $25),Gift Card,218048,18048,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742180480|19674218048|218048|18048|990548970,unresolved,,
19674217492,196742174922,990548966,MC $50 SD JOY HOL 26,MC $50 SD JOY HOL 26,MasterCard,1 X $50,Gift Card,217492,17492,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174922|19674217492|217492|17492|990548966,unresolved,,
19674217493,196742174939,990544252,MC VL HAPPY HOL 26,MC VL HAPPY HOL 26,MasterCard,$20-$500,Gift Card,217493,17493,XMAS 2026 SAMS MD-NJ v2 7-21-26 p1 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p1,2,196742174939|19674217493|217493|17493|990544252,unresolved,,
84921909635,849219096356,990553354,,Trees,Holiday Packaging,2 Pack,Gift Card Wrap,909635,09635,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,849219096356|84921909635|909635|09635|990553354,unresolved,,
84921909636,849219096363,990553405,,Snowglobe/Plaid,Holiday Packaging,2 Pack,Gift Card Wrap,909636,09636,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,849219096363|84921909636|909636|09636|990553405,unresolved,,
84921909637,849219096370,990553429,,Reveals Santa/Wreath,Holiday Packaging,4 Pack,Gift Card Wrap,909637,09637,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,849219096370|84921909637|909637|09637|990553429,unresolved,,
84921909638,849219096387,990553430,,Bellyband Envl Joy,Holiday Packaging,6 Pack,Gift Card Wrap,909638,09638,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,849219096387|84921909638|909638|09638|990553430,unresolved,,
84921909639,849219096394,990553433,,Present Sliders,Holiday Packaging,4 Pack,Gift Card Wrap,909639,09639,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,849219096394|84921909639|909639|09639|990553433,unresolved,,
19674217981,196742179811,990552673,,SBUX HOL $50 MP 26,Starbucks $50 Multipack,$50 (5 X $10),Gift Cards,217981,17981,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p4,0,196742179811|19674217981|217981|17981|990552673,unresolved,,
