side,page_index,row,col,label_name,last5,resolved_upc,resolved_name,cpp,image_status,image_mean,image_std
A,1,8,2,ZAXBYS VGC HOLIDAY,07303,019674207303,ZAXBYS VGC HOLIDAY,20,IMAGE_PRESENT,200.45,75.35
A,1,8,3,LONGHORN STEAKHOUSE VGC MD,11473,019674211473,LONGHORN STEAKHOUSE VGC MD,20,IMAGE_PRESENT,99.33,85.32
A,1,8,4,LONGHORN STEAKHOUSE $50 MD,11472,019674211472,LONGHORN STEAKHOUSE $50 MD,20,IMAGE_PRESENT,110.45,97.91
A,1,8,5,RED LOBSTER VGC REG,11150,019674211150,RED LOBSTER VGC MD,30,IMAGE_PRESENT,103.93,97.58
A,1,8,6,RED ROBIN VGC REG,11006,019674211006,RED ROBIN VGC MD,30,IMAGE_PRESENT,143.19,92.86
A,1,8,7,FIVE GUYS VGC REG,10726,019674210726,FIVE GUYS VGC MD,30,IMAGE_PRESENT,164.52,73.36
A,1,8,8,FIREHOUSE SUBS VGC REG,10310,019674210310,FIREHOUSE SUBS VGC MD,30,IMAGE_PRESENT,183.3,66.57
A,1,8,9,JERSEY MIKES VGC REG,10652,019674210652,JERSEY MIKES VGC MD,20,IMAGE_PRESENT,201.22,72.69
B,2,0,4,(10-500),36593,019594936593,APPLE VGC (10-500),20,IMAGE_PRESENT,237.44,38.32
B,2,0,5,AP3P6L5E9 $525,36595,019594936595,APPLE $25,20,IMAGE_PRESENT,238.54,34.67
B,2,0,6,VGGOCO RGELGE,09969,019674209969,GOOGLE VGC MD,30,IMAGE_PRESENT,233.35,44.89
B,2,0,7,VGC,16348,019674216348,ZIFT HOLIDAY VGC,20,IMAGE_PRESENT,160.14,45.7
B,2,1,0,Wonder Tree $50,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,IMAGE_PRESENT,135.54,59.68
B,2,1,1,e $20-500,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,IMAGE_PRESENT,110.48,57.9
B,2,1,9,Santa $25,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,IMAGE_PRESENT,184.64,90.91
B,2,1,10,Snowman $50,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,IMAGE_PRESENT,180.79,91.32
