side,page,row,col,last5,expected_upc,expected_name,present_on_side,present_anywhere
C,3,7,6,10452,019674210452,OUTBACK $50 MD,True,True
C,3,7,7,10854,019674210854,GOLDEN CORRAL VGC MD,True,True
C,3,7,8,11248,019674211248,JIMMY JOHNS VGC MD,True,True
C,3,7,9,10624,019674210624,DOMINOS VGC MD,True,True
C,3,8,0,10648,019674210648,CHIPOTLE VGC MD,True,True
C,3,8,1,11256,019674211256,HARDEES VGC MD,True,True
C,3,8,2,07303,019674207303,ZAXBYS VGC HOLIDAY,True,True
C,3,8,3,11473,019674211473,LONGHORN STEAKHOUSE VGC MD,True,True
C,3,8,4,11472,019674211472,LONGHORN STEAKHOUSE $50 MD,True,True
C,3,8,5,11150,019674211150,RED LOBSTER VGC MD,True,True
C,3,8,6,11006,019674211006,RED ROBIN VGC MD,True,True
C,3,8,7,10726,019674210726,FIVE GUYS VGC MD,True,True
C,3,8,8,10310,019674210310,FIREHOUSE SUBS VGC MD,True,True
C,3,8,9,10652,019674210652,JERSEY MIKES VGC MD,True,True
D,4,0,4,36593,019594936593,APPLE VGC (10-500),True,True
D,4,0,5,36595,019594936595,APPLE $25,True,True
D,4,0,6,09969,019674209969,GOOGLE VGC MD,True,True
D,4,0,7,16348,019674216348,ZIFT HOLIDAY VGC,True,True
D,4,1,0,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,True,True
D,4,1,1,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,True,True
D,4,1,9,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,True,True
D,4,1,10,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,True,True
D,4,2,4,36596,019594936596,APPLE $50,True,True
D,4,2,5,36597,019594936597,APPLE $100,True,True
D,4,2,6,09974,019674209974,GOOGLE $25 MD,True,True
D,4,2,7,16346,019674216346,ZIFT HOLIDAY $25,True,True
D,4,3,0,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,True,True
D,4,3,1,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,True,True
D,4,3,9,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,True,True
D,4,3,10,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,True,True
D,4,4,0,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,True,True
D,4,4,1,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,True,True
D,4,4,4,10902,019674210902,DISNEY VGC MD,True,True
D,4,4,5,10902,019674210902,DISNEY VGC MD,True,True
D,4,4,6,09976,019674209976,GOOGLE $50 MD,True,True
D,4,4,7,16347,019674216347,ZIFT HOLIDAY $50,True,True
D,4,4,9,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,True,True
D,4,4,10,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,True,True
D,4,5,3,10812,019674210812,AMC $30 VA HOLIDAY,True,True
D,4,5,4,16587,019674216587,RED LOBSTER $100 VA,True,True
D,4,5,6,16316,019674216316,PANDA EXPRESS VGC VA,True,True
D,4,5,7,16659,019674216659,KFC VGC VA,True,True
D,4,6,5,12288,019674212288,"CHUCK E CHEESE $25;1,000 e-Tickets$10 Value VA",True,True
D,4,6,8,12248,019674212248,"Starbucks VGC ($25-$500), Gift Card Holder GWP VA",True,True
D,4,7,1,16548,019674216548,NFL PLUSS $99.99,True,True
D,4,7,2,10128,019674210128,FANDANGO VGC MD,True,True
D,4,7,3,14703,019674214703,DISNEY + VGC REG,True,True
D,4,7,4,09909,019674209909,UBER VGC MD,True,True
D,4,7,5,16172,019674216172,ZIFT (CORE) VGC,True,True
